"DATE","MIN_TEMP","MAX_TEMP","SNOW"
2014-09-20,9.866,11.139,FALSE
2014-09-21,9.5489621694048,10.748,FALSE
2014-09-22,9.94859773558539,10.3822986888756,FALSE
2014-09-23,9.571,10.1857570304045,FALSE
2014-09-24,9.669,10.4604216504731,FALSE
2014-09-25,8.978,9.62076993805832,FALSE
2014-09-26,8.5447072738366,9.287868094296,FALSE
2014-09-27,8.481,9.1846518943584,FALSE
2014-09-28,8.382,9.0902582230963,FALSE
2014-09-29,8.282,9.176,FALSE
2014-09-30,7.8498727418681,8.51488484803376,FALSE
2014-10-01,7.04620945066113,7.80605158208993,FALSE
2014-10-02,6.775,7.60347281207484,FALSE
2014-10-03,7.27138776574882,8.4898384141678,FALSE
2014-10-04,8.16055410525708,9.20441258240216,FALSE
2014-10-05,8.68,9.373,FALSE
2014-10-06,8.87086308138964,9.669,FALSE
2014-10-07,9.077,9.768,FALSE
2014-10-08,8.64594142464769,9.63461061183519,FALSE
2014-10-09,8.27671065628701,8.9863133225921,FALSE
2014-10-10,8.26915008293678,9.11755315425552,FALSE
2014-10-11,8.067006635082,8.78317901137294,FALSE
2014-10-12,7.76608367498417,8.19802563120514,FALSE
2014-10-13,7.682,8.978,FALSE
2014-10-14,7.41941764485636,8.94442084699273,FALSE
2014-10-15,6.86191117577839,7.9330524791459,FALSE
2014-10-16,6.76969559923096,7.19222498100394,FALSE
2014-10-17,6.75966815391531,8.31296480364018,FALSE
2014-10-18,8.26147718809831,8.69639379490752,FALSE
2014-10-19,7.96339317271663,8.80020888543109,FALSE
2014-10-20,7.782,8.68,FALSE
2014-10-21,7.16629893338959,7.73318121318002,FALSE
2014-10-22,7.1655821063471,7.782,FALSE
2014-10-23,4.41085218248408,7.43750187586472,FALSE
2014-10-24,5.11423475844352,6.37,FALSE
2014-10-25,5.655,7.21150036828798,FALSE
2014-10-26,3.683,5.56781306584317,FALSE
2014-10-27,4.3943144028019,5.16460811110409,FALSE
2014-10-28,5.03086131542149,6.58392624021725,FALSE
2014-10-29,6.45336973517217,6.877,FALSE
2014-10-30,6.35013053639288,7.29486047847573,FALSE
2014-10-31,5.86,7.20255931643136,FALSE
2014-11-01,4.99961753390136,5.75389579787868,FALSE
2014-11-02,4.90343346917124,5.48945805165742,FALSE
2014-11-03,5.4028035523691,6.48695638944776,FALSE
2014-11-04,6.37,6.978,FALSE
2014-11-05,6.064,7.381,FALSE
2014-11-06,5.01046272090533,7.70141965881777,FALSE
2014-11-07,4.727,5.55862382265272,FALSE
2014-11-08,4.61433053811757,5.45,FALSE
2014-11-09,3.4305499734214,5.67537341739868,FALSE
2014-11-10,3.578,4.23672487822273,FALSE
2014-11-11,2.195,3.52559154907801,FALSE
