"DATETIME","TZ","TEMP"
2014-09-12 17:00:00,"Etc/GMT-7",9.768
2014-09-12 18:00:00,"Etc/GMT-7",9.74817720490385
2014-09-12 19:00:00,"Etc/GMT-7",9.669
2014-09-12 20:00:00,"Etc/GMT-7",9.5416455901923
2014-09-12 21:00:00,"Etc/GMT-7",9.373
2014-09-12 22:00:00,"Etc/GMT-7",9.17424043432694
2014-09-12 23:00:00,"Etc/GMT-7",8.978
2014-09-13 00:00:00,"Etc/GMT-7",8.81414267249993
2014-09-13 01:00:00,"Etc/GMT-7",8.68
2014-09-13 02:00:00,"Etc/GMT-7",8.56768887567332
2014-09-13 03:00:00,"Etc/GMT-7",8.481
2014-09-13 04:00:00,"Etc/GMT-7",8.42297682480677
2014-09-13 05:00:00,"Etc/GMT-7",8.382
2014-09-13 06:00:00,"Etc/GMT-7",8.34177882509961
2014-09-13 07:00:00,"Etc/GMT-7",8.282
2014-09-13 08:00:00,"Etc/GMT-7",8.20178287479481
2014-09-13 09:00:00,"Etc/GMT-7",8.182
2014-09-13 10:00:00,"Etc/GMT-7",8.29296467572117
2014-09-13 11:00:00,"Etc/GMT-7",8.481
2014-09-13 12:00:00,"Etc/GMT-7",8.6899834223205
2014-09-13 13:00:00,"Etc/GMT-7",8.978
2014-09-13 14:00:00,"Etc/GMT-7",9.39772663499684
2014-09-13 15:00:00,"Etc/GMT-7",9.866
2014-09-13 16:00:00,"Etc/GMT-7",10.2626100376921
2014-09-13 17:00:00,"Etc/GMT-7",10.455
2014-09-13 18:00:00,"Etc/GMT-7",10.3670832142346
2014-09-13 19:00:00,"Etc/GMT-7",10.161
2014-09-13 20:00:00,"Etc/GMT-7",10.0065571053696
2014-09-13 21:00:00,"Etc/GMT-7",9.866
2014-09-13 22:00:00,"Etc/GMT-7",9.67518836428718
2014-09-13 23:00:00,"Etc/GMT-7",9.472
2014-09-14 00:00:00,"Etc/GMT-7",9.30656443748171
2014-09-14 01:00:00,"Etc/GMT-7",9.176
2014-09-14 02:00:00,"Etc/GMT-7",9.06705388578598
2014-09-14 03:00:00,"Etc/GMT-7",8.978
2014-09-14 04:00:00,"Etc/GMT-7",8.89934501937436
2014-09-14 05:00:00,"Etc/GMT-7",8.779
2014-09-14 06:00:00,"Etc/GMT-7",8.58169103671657
2014-09-14 07:00:00,"Etc/GMT-7",8.382
2014-09-14 08:00:00,"Etc/GMT-7",8.26926583375934
2014-09-14 09:00:00,"Etc/GMT-7",8.282
2014-09-14 10:00:00,"Etc/GMT-7",8.43262062824605
2014-09-14 11:00:00,"Etc/GMT-7",8.68
2014-09-14 12:00:00,"Etc/GMT-7",8.98537665325645
2014-09-14 13:00:00,"Etc/GMT-7",9.373
2014-09-14 14:00:00,"Etc/GMT-7",9.85812275872816
2014-09-14 15:00:00,"Etc/GMT-7",10.357
2014-09-14 16:00:00,"Etc/GMT-7",10.7588823118309
2014-09-14 17:00:00,"Etc/GMT-7",10.944
2014-09-14 18:00:00,"Etc/GMT-7",10.8497229939482
2014-09-14 19:00:00,"Etc/GMT-7",10.651
2014-09-14 20:00:00,"Etc/GMT-7",10.5171007123764
2014-09-14 21:00:00,"Etc/GMT-7",10.357
2014-09-14 22:00:00,"Etc/GMT-7",10.0688741565461
2014-09-14 23:00:00,"Etc/GMT-7",9.768
2014-09-15 00:00:00,"Etc/GMT-7",9.58215266143927
2014-09-15 01:00:00,"Etc/GMT-7",9.472
2014-09-15 02:00:00,"Etc/GMT-7",9.37151519769686
2014-09-15 03:00:00,"Etc/GMT-7",9.275
2014-09-15 04:00:00,"Etc/GMT-7",9.18503654777331
2014-09-15 05:00:00,"Etc/GMT-7",9.077
2014-09-15 06:00:00,"Etc/GMT-7",8.93171361120991
2014-09-15 07:00:00,"Etc/GMT-7",8.779
2014-09-15 08:00:00,"Etc/GMT-7",8.66848400738703
2014-09-15 09:00:00,"Etc/GMT-7",8.68
2014-09-15 10:00:00,"Etc/GMT-7",8.87060035924195
2014-09-15 11:00:00,"Etc/GMT-7",9.176
2014-09-15 12:00:00,"Etc/GMT-7",9.52811455564517
2014-09-15 13:00:00,"Etc/GMT-7",9.965
2014-09-15 14:00:00,"Etc/GMT-7",10.5124414181774
2014-09-15 15:00:00,"Etc/GMT-7",11.041
2014-09-15 16:00:00,"Etc/GMT-7",11.4144947716453
2014-09-15 17:00:00,"Etc/GMT-7",11.625
2014-09-15 18:00:00,"Etc/GMT-7",11.6930794952414
2014-09-15 19:00:00,"Etc/GMT-7",11.625
2014-09-15 20:00:00,"Etc/GMT-7",11.4415622473891
2014-09-15 21:00:00,"Etc/GMT-7",11.236
2014-09-15 22:00:00,"Etc/GMT-7",11.0871715152021
