"DATETIME","TZ","TEMP"
2014-01-01 00:00:00,"Etc/GMT-7",1.74287048744053
2014-01-01 01:00:00,"Etc/GMT-7",1.656
2014-01-01 02:00:00,"Etc/GMT-7",1.64744247931695
2014-01-01 03:00:00,"Etc/GMT-7",1.656
2014-01-01 04:00:00,"Etc/GMT-7",1.61685959529165
2014-01-01 05:00:00,"Etc/GMT-7",1.548
2014-01-01 06:00:00,"Etc/GMT-7",1.48349413951643
2014-01-01 07:00:00,"Etc/GMT-7",1.439
2014-01-01 08:00:00,"Etc/GMT-7",1.42366384664263
2014-01-01 09:00:00,"Etc/GMT-7",1.439
2014-01-01 10:00:00,"Etc/GMT-7",1.48310047391306
2014-01-01 11:00:00,"Etc/GMT-7",1.548
2014-01-01 12:00:00,"Etc/GMT-7",1.61843425770513
2014-01-01 13:00:00,"Etc/GMT-7",1.656
2014-01-01 14:00:00,"Etc/GMT-7",1.64153749526643
2014-01-01 15:00:00,"Etc/GMT-7",1.656
2014-01-01 16:00:00,"Etc/GMT-7",1.76491576122915
2014-01-01 17:00:00,"Etc/GMT-7",1.872
2014-01-01 18:00:00,"Etc/GMT-7",1.88279945981698
2014-01-01 19:00:00,"Etc/GMT-7",1.872
2014-01-01 20:00:00,"Etc/GMT-7",1.92238639950294
2014-01-01 21:00:00,"Etc/GMT-7",1.98
2014-01-01 22:00:00,"Etc/GMT-7",1.98365494217125
2014-01-01 23:00:00,"Etc/GMT-7",1.98
2014-01-02 00:00:00,"Etc/GMT-7",2.02299383181207
2014-01-02 01:00:00,"Etc/GMT-7",2.088
2014-01-02 02:00:00,"Etc/GMT-7",2.14174473058046
2014-01-02 03:00:00,"Etc/GMT-7",2.195
2014-01-02 04:00:00,"Etc/GMT-7",2.25902724586609
2014-01-02 05:00:00,"Etc/GMT-7",2.303
2014-01-02 06:00:00,"Etc/GMT-7",2.30277128595519
2014-01-02 07:00:00,"Etc/GMT-7",2.303
2014-01-02 08:00:00,"Etc/GMT-7",2.34776261031316
2014-01-02 09:00:00,"Etc/GMT-7",2.41
2014-01-02 10:00:00,"Etc/GMT-7",2.45855327279218
2014-01-02 11:00:00,"Etc/GMT-7",2.517
2014-01-02 12:00:00,"Etc/GMT-7",2.61227429851811
2014-01-02 13:00:00,"Etc/GMT-7",2.73
2014-01-02 14:00:00,"Etc/GMT-7",2.84659953313539
2014-01-02 15:00:00,"Etc/GMT-7",2.943
